Booking_ID,Hotel_Name,Hotel_Category,City,State,Country,Checkin_Date,Checkout_Date,Month,Quarter,Year,Room_Type,Guests,Nights_Stayed,Room_Rate,Extra_Charges,Discount,Gross_Revenue,Net_Revenue,GST_Amount,Total_With_GST,Booking_Channel,Customer_Type,Payment_Mode,Occupancy_Status,Customer_Rating,Feedback_Status,Covid_Impact_Level
BK9835534,ITC Kakatiya,Luxury,Hyderabad,Telangana,India,44320,44324,May,Q2,2021,Deluxe,3,4,22569,2390,3506,92666,89160,10699.2,99859.2,Walk-in,Regular,UPI,Checked-Out,4.6,Positive,High
BK7803377,ITC Royal Bengal,Luxury,Kolkata,West Bengal,India,44352,44356,June,Q2,2021,Presidential Suite,2,4,21693,4271,4213,91043,86830,10419.6,97249.6,Corporate,VIP,Credit Card,Checked-In,4.6,Positive,High
BK3686278,ITC Grand Goa,Resort,Goa,Goa,India,44443,44445,September,Q3,2021,Luxury Suite,1,2,14474,4243,3802,33191,29389,3526.68,32915.68,Booking.com,Corporate,Cash,Checked-In,4.2,Positive,Low
BK7514886,Fortune Select Trinity,Business,Bengaluru,Karnataka,India,44469,44470,September,Q3,2021,Executive,1,1,25327,2363,3281,27690,24409,2929.08,27338.08,Website,Regular,Debit Card,Cancelled,3.8,Neutral,Low
BK6312815,ITC Narmada,Business,Ahmedabad,Gujarat,India,44461,44463,September,Q3,2021,Deluxe,1,2,6732,1092,4616,14556,9940,1192.8,11132.8,Walk-in,New Guest,UPI,Checked-In,4.6,Negative,Low
BK5563236,ITC Sonar,Business,Kolkata,West Bengal,India,44452,44453,September,Q3,2021,Executive,1,1,24551,5114,4688,29665,24977,2997.24,27974.24,MakeMyTrip,New Guest,Debit Card,Checked-In,3.7,Positive,Low
BK3946722,ITC Grand Goa,Resort,Goa,Goa,India,44339,44344,May,Q2,2021,Luxury Suite,2,5,20189,4810,296,105755,105459,12655.08,118114.08,Corporate,Corporate,Debit Card,Checked-Out,4.8,Positive,High
BK5214751,ITC Maratha,Luxury,Mumbai,Maharashtra,India,44592,44593,January,Q1,2022,Luxury Suite,2,1,14663,3372,2109,18035,15926,1911.12,17837.12,MakeMyTrip,Regular,Debit Card,Checked-Out,4.3,Positive,High
BK4623241,ITC Kakatiya,Luxury,Hyderabad,Telangana,India,44615,44620,February,Q1,2022,Presidential Suite,3,5,22208,1370,1740,112410,110670,13280.4,123950.4,Walk-in,Regular,Net Banking,Checked-In,4.5,Positive,Low
BK1623736,ITC Mughal,Resort,Agra,Uttar Pradesh,India,44464,44467,September,Q3,2021,Luxury Suite,2,3,18545,4680,1666,60315,58649,7037.88,65686.88,Booking.com,Regular,Cash,Checked-Out,4.6,Positive,Low
BK4163929,ITC Gardenia,Luxury,Bengaluru,Karnataka,India,44620,44624,February,Q1,2022,Club Room,3,4,21419,4283,3918,89959,86041,10324.92,96365.92,Walk-in,New Guest,Net Banking,Checked-In,3.4,Positive,Low
BK3327428,ITC Kakatiya,Luxury,Hyderabad,Telangana,India,44363,44366,June,Q2,2021,Presidential Suite,3,3,8349,4111,1737,29158,27421,3290.52,30711.52,Walk-in,Member,Cash,Checked-In,4.2,Negative,High
